                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.77985,                0.57164,                0.93772,                0.83678,                0.75006,                0.82113,                0.46082,                  1.617,                 1.0937,                 1.4635,             8.1526e-05,             8.1526e-05,             8.1526e-05
                     75,                0.78097,                0.57497,                0.93044,                0.77128,                0.80244,                0.83673,                0.46917,                 1.6254,                 1.0932,                 1.4684,             7.8616e-05,             7.8616e-05,             7.8616e-05
                     76,                0.77757,                0.56946,                0.93299,                0.80607,                0.77133,                0.83494,                 0.4658,                  1.632,                   1.07,                 1.4898,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     77,                0.77252,                0.57004,                0.93049,                0.77945,                0.79058,                0.83641,                0.46216,                 1.6347,                 1.0374,                 1.4856,             7.2794e-05,             7.2794e-05,             7.2794e-05
                     78,                0.76381,                0.56396,                 0.9347,                 0.8846,                0.73317,                0.82669,                0.45847,                 1.6342,                  1.071,                 1.4917,             6.9884e-05,             6.9884e-05,             6.9884e-05
                     79,                 0.7537,                0.56283,                 0.9257,                0.83874,                0.75095,                0.83299,                 0.4556,                 1.6365,                 1.0947,                 1.4926,             6.6973e-05,             6.6973e-05,             6.6973e-05
                     80,                0.75649,                0.55753,                0.92826,                0.83851,                 0.7484,                0.83109,                0.46195,                 1.6457,                 1.0798,                 1.4944,             6.4063e-05,             6.4063e-05,             6.4063e-05
                     81,                0.74814,                0.54354,                0.92836,                0.82409,                0.75667,                0.83048,                0.46379,                 1.6357,                 1.0841,                  1.504,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     82,                0.73909,                0.54437,                0.92597,                0.85361,                0.73664,                0.82911,                0.45982,                  1.635,                 1.0908,                 1.4936,             5.8241e-05,             5.8241e-05,             5.8241e-05
                     83,                0.74403,                0.54468,                0.92527,                0.87549,                 0.7207,                0.82392,                0.45652,                 1.6716,                 1.0788,                 1.5196,             5.5331e-05,             5.5331e-05,             5.5331e-05
                     84,                0.74061,                0.54431,                 0.9215,                0.79739,                0.77429,                0.82819,                0.46491,                 1.6244,                 1.0763,                 1.4977,              5.242e-05,              5.242e-05,              5.242e-05
                     85,                0.73096,                0.53903,                0.91896,                0.86141,                0.75185,                0.83309,                0.45952,                 1.6429,                 1.1029,                 1.5086,              4.951e-05,              4.951e-05,              4.951e-05
                     86,                0.72365,                0.53115,                0.91974,                 0.8378,                0.75503,                0.82472,                0.45989,                 1.6296,                 1.0785,                 1.5086,             4.6599e-05,             4.6599e-05,             4.6599e-05
                     87,                0.73361,                 0.5359,                0.92435,                0.85798,                0.75623,                0.82849,                0.46095,                 1.6515,                 1.0803,                 1.5102,             4.3688e-05,             4.3688e-05,             4.3688e-05
                     88,                0.72949,                0.53704,                 0.9254,                0.81318,                0.75713,                0.82091,                0.45865,                  1.657,                 1.1087,                 1.5182,             4.0778e-05,             4.0778e-05,             4.0778e-05
                     89,                0.71499,                0.52977,                0.92416,                0.81074,                0.78186,                0.82803,                0.46555,                 1.6351,                 1.0707,                 1.4944,             3.7867e-05,             3.7867e-05,             3.7867e-05
                     90,                0.70503,                0.51612,                0.91884,                 0.8834,                0.72414,                0.82881,                0.46311,                 1.6536,                 1.0708,                 1.5181,             3.4957e-05,             3.4957e-05,             3.4957e-05
                     91,                0.71713,                0.48507,                0.91804,                0.79748,                0.76953,                 0.8182,                0.44998,                 1.6403,                  1.111,                 1.5273,             3.2046e-05,             3.2046e-05,             3.2046e-05
                     92,                 0.6783,                0.46361,                0.90502,                0.83819,                0.77026,                0.83121,                0.45615,                 1.6359,                 1.0843,                 1.5242,             2.9135e-05,             2.9135e-05,             2.9135e-05
                     93,                0.66155,                0.45345,                0.90067,                0.84483,                0.74896,                0.82905,                0.45429,                 1.6525,                 1.1143,                 1.5181,             2.6225e-05,             2.6225e-05,             2.6225e-05
                     94,                0.64534,                0.44704,                0.89333,                0.85514,                0.75115,                0.83502,                0.45941,                 1.6369,                 1.0856,                 1.5088,             2.3314e-05,             2.3314e-05,             2.3314e-05
                     95,                0.64758,                0.44953,                0.89874,                0.82924,                0.75764,                 0.8292,                0.45532,                 1.6452,                  1.105,                 1.5216,             2.0404e-05,             2.0404e-05,             2.0404e-05
                     96,                0.63932,                0.43786,                0.89073,                0.82367,                0.76171,                0.82079,                0.45731,                 1.6442,                 1.1051,                 1.5177,             1.7493e-05,             1.7493e-05,             1.7493e-05
                     97,                 0.6384,                0.43763,                0.88992,                0.88494,                0.73215,                0.83298,                0.46352,                  1.631,                   1.08,                 1.5054,             1.4582e-05,             1.4582e-05,             1.4582e-05
                     98,                   0.64,                0.43291,                0.88559,                0.83722,                0.75705,                0.82928,                0.46012,                 1.6302,                 1.0924,                 1.5019,             1.1672e-05,             1.1672e-05,             1.1672e-05
                     99,                0.63427,                0.43136,                0.88807,                0.83433,                0.77096,                0.83272,                0.46226,                 1.6255,                 1.0894,                 1.5025,             8.7612e-06,             8.7612e-06,             8.7612e-06
                    100,                0.62408,                 0.4312,                0.88842,                0.82962,                0.77026,                0.83287,                0.46053,                 1.6304,                 1.0955,                 1.5058,             5.8506e-06,             5.8506e-06,             5.8506e-06
