                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.72724,                0.68306,                 1.1354,                0.79775,                0.60914,                0.66546,                0.46576,                0.93018,                0.97671,                 1.4826,             0.00045005,             0.00045005,             0.00045005
                     53,                0.72435,                0.66388,                   1.13,                0.69872,                0.69518,                0.71771,                0.49936,                0.91551,                0.91108,                 1.4399,             0.00044105,             0.00044105,             0.00044105
                     54,                 0.7126,                0.66385,                 1.1324,                0.83911,                 0.6579,                 0.7003,                0.50651,                0.90038,                0.95883,                  1.462,             0.00043205,             0.00043205,             0.00043205
                     55,                0.71294,                0.66585,                 1.1207,                0.85978,                0.55072,                 0.7362,                0.54235,                0.90201,                0.97026,                  1.444,             0.00042305,             0.00042305,             0.00042305
                     56,                0.69259,                0.65446,                 1.1072,                0.83332,                0.62085,                0.71593,                0.50108,                0.92393,                0.92594,                 1.4463,             0.00041405,             0.00041405,             0.00041405
                     57,                0.69902,                0.64207,                 1.1188,                0.81142,                0.63067,                0.71563,                0.49223,                0.92182,                0.93124,                 1.5264,             0.00040505,             0.00040505,             0.00040505
                     58,                0.69074,                0.63288,                   1.11,                0.78773,                0.60532,                0.63842,                0.44829,                0.93119,                 1.0384,                 1.4586,             0.00039605,             0.00039605,             0.00039605
                     59,                0.69304,                0.63217,                 1.1125,                0.75489,                0.67449,                0.64955,                 0.4645,                0.91175,                 0.9069,                 1.4355,             0.00038705,             0.00038705,             0.00038705
                     60,                0.68379,                0.61906,                 1.1014,                0.82499,                0.62005,                0.71299,                0.50674,                0.90522,                 1.0579,                 1.4595,             0.00037805,             0.00037805,             0.00037805
                     61,                0.66947,                0.60994,                  1.094,                0.73398,                0.67916,                0.70292,                0.48364,                0.92046,                0.95029,                 1.5026,             0.00036905,             0.00036905,             0.00036905
                     62,                 0.6737,                0.60249,                 1.0931,                0.75076,                0.65396,                0.66044,                0.48842,                0.85975,                0.95936,                 1.3884,             0.00036005,             0.00036005,             0.00036005
                     63,                0.65827,                 0.6013,                 1.0944,                0.73554,                0.65833,                0.66277,                0.47399,                0.93573,                0.97685,                 1.4702,             0.00035106,             0.00035106,             0.00035106
                     64,                0.65917,                0.59521,                 1.0947,                0.76618,                0.67599,                0.67205,                0.48581,                0.93429,                0.91955,                 1.4651,             0.00034206,             0.00034206,             0.00034206
                     65,                0.65779,                0.57414,                 1.0863,                0.79187,                0.67107,                0.69037,                 0.4892,                0.95341,                0.95215,                 1.4953,             0.00033306,             0.00033306,             0.00033306
                     66,                0.65255,                0.58838,                 1.0866,                0.84349,                0.62464,                0.67965,                0.49844,                0.93847,                0.89807,                 1.5239,             0.00032406,             0.00032406,             0.00032406
                     67,                0.65213,                  0.572,                 1.0843,                0.52436,                0.83443,                0.74669,                0.54998,                0.88781,                0.87581,                 1.4084,             0.00031506,             0.00031506,             0.00031506
                     68,                0.65211,                0.57066,                 1.0772,                 0.7782,                0.59983,                0.65858,                0.49227,                0.91314,                0.89453,                 1.4704,             0.00030606,             0.00030606,             0.00030606
                     69,                0.64349,                0.55168,                 1.0769,                0.74593,                0.69936,                0.71238,                  0.504,                0.90431,                0.92618,                 1.4294,             0.00029706,             0.00029706,             0.00029706
